# s_id	slug	title  (index of https://shomila.islomiy.info/index.php?act=book&sec=81&b_id=178)
26910	000	0. Кириш
18762	001	001. Фотиҳа сураси
24722	002	002. Бақара сураси
25919	003	003. Оли Имрон сураси
26908	004	004. Нисо сураси
26909	005	005. Моида сураси
26911	006	006.  Анъам сураси
27290	007	007. Аъроф сураси
28398	008	008. Анфол сураси
28400	009	009. Тавба сураси
28401	010	010. Юнус сураси
28402	011	011. Ҳуд сураси
28404	012	012. Юсуф сураси
28407	013	013. Раъд сураси
28406	014	014. Иброҳим сураси
28405	015	015. Ҳижр сураси
28403	016	016. Наҳл сураси
28399	017	017. Исро сураси
28387	018	018. Каҳф сураси
26906	019	019. Марям сураси
26905	020	020. Тоҳа сураси
26904	021	021. Анбиё сураси
26903	022	022. Ҳаж сураси
26902	023	023. Муъминун сураси
25786	024	024. Нур сураси
25145	025	025. Фурқон сураси
24917	026	026. Шуаро сураси
24916	027	027. Намл  суроаси
24915	028	028. Қасас сураси
24798	029	029. Анкабут сураси
24727	030	030. Рум сураси
24726	031	031. Луқмон сураси
24725	032	032. Сажда сураси
24724	033	033. Аҳзоб сураси
24723	034	034. Сабаъ сураси
24720	035	035. Фотир сураси
24719	036	036. Ёсин сураси
24718	037	037. Саффот сураси
24717	038	038. Сод сураси
24716	039	039. Зумар сураси
24715	040	040. Ғофир сураси
24714	041	041. Фуссилат сураси
24713	042	042. Шўро сураси
24697	043	043. Зуҳруф сураси
24682	044	044. Дуҳон сураси
24681	045	045. Жосия сураси
24668	046	046. Аҳқоф сураси
24669	047	047. Муҳаммад сураси
24670	048	048. Фатх сураси
24671	049	049. Ҳужурот сураси
24672	050	050. Қоф сураси
24662	051	051. Зориёт сураси
24663	052	052. Тур сураси
24629	053	053. Нажм сураси
24664	054	054. Қамар сураси
24665	055	055. Раҳмон сураси
24666	056	056. Воқеа сураси
24667	057	057. Ҳадид сураси
24653	058	058. Мужодала сураси
24654	059	059. Ҳашр сураси
24655	060	060. Мумтаҳина сураси
24656	061	061. Сафф сураси
24657	062	062. Жума сураси
24658	063	063. Мунофиқун сураси
24659	064	064. Тағобун сураси
24660	065	065. Талоқ сураси
24661	066	066. Таҳрим сураси
22115	067	067. Мулк сураси
24258	068	068. Қалам сураси
24630	069	069. Ал-ҳааққаҳ сураси
24646	070	070. Маъориж сураси
24647	071	071. Нуҳ сураси
24648	072	072. Жин сураси
24649	073	073. Муззаммил сураси
24650	074	074. Муддассир сураси
24651	075	075. Қиёмат сураси
24652	076	076. Инсон сураси
23949	077	077.  Мурсалот сураси
18968	078	078. Наба сураси
18969	079	079. Назиъот сураси
18970	080	080. Абаса сураси
19175	081	081. Таквир сураси
19182	082	082. Инфитор сураси
19262	083	083. Мутоффифин сураси
19263	084	084. Иншиқоқ сураси
19266	085	085. Буруж сураси
19267	086	086. Ториқ сураси
19268	087	087. Аълaa сураси
19269	088	088. Ғошия сураси
19270	089	089. Фажр сураси
19272	090	090. Балад сураси
19273	091	091. Шамс сураси
19425	092	092. Лайл сураси
19426	093	093. Дуҳо сураси
19427	094	094. Иншираҳ сураси
19428	095	095. Тин сураси
19755	096	096. Алақ сураси
19756	097	097. Қадр сураси
19757	098	098. Баййина сураси
19758	099	099. Залзала сураси
19759	100	100. Одиёт сураси
19760	101	101. Қориъа сураси
19761	102	102. Такаcур сураси
19931	103	103. Аср сураси
20640	104	104. Ҳумаза сураси
20641	105	105. Фил сураси
20642	106	106. Қурайш сураси
20643	107	107. Маъун сураси
20931	108	108. Кавсар сураси
20932	109	109. Кофирун сураси
20933	110	110. Наср сураси
20934	111	111. Лаҳаб сураси
20935	112	112. Ихлос сураси
20936	113	113. Фалак сураси
20937	114	114. Нас сураси
20938	115-about	Ушбу тафсир ҳақида
